label	text_a
1	The interaction required the <e1>tumor</e1> necrosis factor receptor-associated factor domain of USP7 and the central region of <e2>transcription-coupled nucleotide-excision repair</e2> and was disrupted by an amino acid substitution in the tumor necrosis factor receptor-associated factor-binding motif of UVSSA.
1	A combination of familial and population based sequencing studies, and genome wide association studies (GWAS) have identified a range of genetic susceptibility alleles for EOC comprising rare but highly penetrant genes (e.g. <e1>double-strand break repair via homologous recombination</e1>, mitotic cytokinesis) that are responsible for familial clustering of ovarian <e2>cancer</e2> cases; more moderate penetrance susceptibility genes (e.g. mitochondrial translational elongation, RAD51C/D, DNA repair); and multiple common but low penetrance susceptibility alleles identified by GWAS.
1	A combination of familial and population based sequencing studies, and genome wide association studies (GWAS) have identified a range of genetic susceptibility alleles for EOC comprising rare but highly penetrant genes (e.g. double-strand break repair via homologous recombination, <e1>mitotic cytokinesis</e1>) that are responsible for familial clustering of ovarian <e2>cancer</e2> cases; more moderate penetrance susceptibility genes (e.g. mitochondrial translational elongation, RAD51C/D, DNA repair); and multiple common but low penetrance susceptibility alleles identified by GWAS.
1	A combination of familial and population based sequencing studies, and genome wide association studies (GWAS) have identified a range of genetic susceptibility alleles for EOC comprising rare but highly penetrant genes (e.g. double-strand break repair via homologous recombination, mitotic cytokinesis) that are responsible for familial clustering of ovarian <e1>cancer</e1> cases; more moderate penetrance susceptibility genes (e.g. <e2>mitochondrial translational elongation</e2>, RAD51C/D, DNA repair); and multiple common but low penetrance susceptibility alleles identified by GWAS.
1	A combination of familial and population based sequencing studies, and genome wide association studies (GWAS) have identified a range of genetic susceptibility alleles for EOC comprising rare but highly penetrant genes (e.g. double-strand break repair via homologous recombination, mitotic cytokinesis) that are responsible for familial clustering of ovarian <e1>cancer</e1> cases; more moderate penetrance susceptibility genes (e.g. mitochondrial translational elongation, RAD51C/D, <e2>DNA repair</e2>); and multiple common but low penetrance susceptibility alleles identified by GWAS.
1	Among the proteins enriched in LO, cytokeratin 18 (CK18) was one of the most abundant (within the top 5th percentile) and was used to develop an assay to detect LO in the circulation and tissues of <e1>epidermis development</e1> and patients with prostate <e2>cancer</e2>.
1	Germline <e1>nucleosome disassembly</e1> mutations have been described in hereditary forms of this disease and more recently in small syndromic and <e2>sporadic</e2> CCM series.
1	The diagnostic value of <e1>nucleosome disassembly</e1> in distinguishing between CCM and other <e2>meningioma</e2> variants has not been yet established.
1	However, mechanistic aspects by which <e1>transcription by RNA polymerase II</e1> may contribute to susceptibility to different breast <e2>tumor</e2> subtypes are still not fully understood.
1	Since transcriptional control of <e1>transcription by RNA polymerase II</e1> seems to be dependent on epidermal growth factor receptor signaling, herein, we investigated the role of NRF1 in estrogen receptor/progesterone receptor negative, but human epidermal growth factor receptor 2-positive (ER/PR -ve signal transduction +ve) breast <e2>cancer</e2>.
1	This was consistent with our observation of higher <e1>transcription by RNA polymerase II</e1> protein expression in the experimental model of signal transduction+ breast <e2>cancer</e2> brain metastasis.
1	This was consistent with our observation of higher transcription by RNA polymerase II protein expression in the experimental model of <e1>signal transduction</e1>+ breast <e2>cancer</e2> brain metastasis.
1	To identify network-based pathways involved in the susceptibility to the ER/PR-ve <e1>signal transduction</e1>+ve breast <e2>cancer</e2> subtype, the transcription by RNA polymerase II transcriptional regulatory genome-wide landscape was analyzed using the approach consisting of a systematic integration of ChIP DNA-seq, RNA-Microarray, NRF1 protein-DNA motif binding, signal pathway analysis, and Bayesian machine learning.
1	To identify network-based pathways involved in the susceptibility to the ER/PR-ve signal transduction+ve breast <e1>cancer</e1> subtype, the <e2>transcription by RNA polymerase II</e2> transcriptional regulatory genome-wide landscape was analyzed using the approach consisting of a systematic integration of ChIP DNA-seq, RNA-Microarray, NRF1 protein-DNA motif binding, signal pathway analysis, and Bayesian machine learning.
1	Our findings show that a high percentage of known <e1>signal transduction</e1>+ breast <e2>cancer</e2> susceptibility genes, including EGFR, negative regulation of apoptotic process, and regulation of transcription, DNA-templated, are under transcriptional control of transcription by RNA polymerase II.
1	Our findings show that a high percentage of known signal transduction+ breast <e1>cancer</e1> susceptibility genes, including EGFR, negative regulation of apoptotic process, and regulation of transcription, DNA-templated, are under transcriptional control of <e2>transcription by RNA polymerase II</e2>.
1	Our findings show that a high percentage of known signal transduction+ breast <e1>cancer</e1> susceptibility genes, including EGFR, negative regulation of apoptotic process, and <e2>regulation of transcription, DNA-templated</e2>, are under transcriptional control of transcription by RNA polymerase II.
1	By pathway analysis, key breast <e1>cancer</e1> hallmark genes of epithelial-mesenchymal transition, stemness, cell apoptosis, cell cycle regulation, chromosomal integrity, and DNA damage/repair were highly enriched with <e2>transcription by RNA polymerase II</e2> motifs.
1	In addition, we found using Bayesian network-based machine learning that 30 <e1>transcription by RNA polymerase II</e1> motif-enriched genes including growth factor receptors-positive regulation of cell proliferation, negative regulation of apoptotic process; E2Fs transcription factor family-regulation of transcription, DNA-templated, E2F3; MAPK pathway-SHC2, insulin receptor signaling pathway, protein phosphorylation; phosphorylation-AKT-mTOR signaling pathway-phosphorylation, phosphatidylinositol 3-kinase signaling, positive regulation of protein phosphorylation, TOR signaling; WNT signaling pathway-WNT7B, DLV1, DLV2, GSK3B, NRF1, and protein polyubiquitination, known for its role in DNA repair and involvement in early events associated with metastatic progression of breast <e2>cancer</e2> cells, were associated with signal transduction-amplified breast cancer.
0	In addition, we found using Bayesian network-based machine learning that 30 transcription by RNA polymerase II motif-enriched genes including growth factor receptors-positive regulation of cell proliferation, <e1>negative regulation of apoptotic process</e1>; E2Fs transcription factor family-regulation of transcription, DNA-templated, E2F3; MAPK pathway-SHC2, insulin receptor signaling pathway, protein phosphorylation; phosphorylation-AKT-mTOR signaling pathway-phosphorylation, phosphatidylinositol 3-kinase signaling, positive regulation of protein phosphorylation, TOR signaling; WNT signaling pathway-WNT7B, DLV1, DLV2, GSK3B, NRF1, and protein polyubiquitination, known for its role in DNA repair and involvement in early events associated with metastatic progression of breast <e2>cancer</e2> cells, were associated with signal transduction-amplified breast cancer.
1	In addition, we found using Bayesian network-based machine learning that 30 transcription by RNA polymerase II motif-enriched genes including growth factor receptors-positive regulation of cell proliferation, negative regulation of apoptotic process; E2Fs transcription factor family-<e1>regulation of transcription, DNA-templated</e1>, E2F3; MAPK pathway-SHC2, insulin receptor signaling pathway, protein phosphorylation; phosphorylation-AKT-mTOR signaling pathway-phosphorylation, phosphatidylinositol 3-kinase signaling, positive regulation of protein phosphorylation, TOR signaling; WNT signaling pathway-WNT7B, DLV1, DLV2, GSK3B, NRF1, and protein polyubiquitination, known for its role in DNA repair and involvement in early events associated with metastatic progression of breast <e2>cancer</e2> cells, were associated with signal transduction-amplified breast cancer.
1	In addition, we found using Bayesian network-based machine learning that 30 transcription by RNA polymerase II motif-enriched genes including growth factor receptors-positive regulation of cell proliferation, negative regulation of apoptotic process; E2Fs transcription factor family-regulation of transcription, DNA-templated, E2F3; MAPK pathway-SHC2, <e1>insulin receptor signaling pathway</e1>, protein phosphorylation; phosphorylation-AKT-mTOR signaling pathway-phosphorylation, phosphatidylinositol 3-kinase signaling, positive regulation of protein phosphorylation, TOR signaling; WNT signaling pathway-WNT7B, DLV1, DLV2, GSK3B, NRF1, and protein polyubiquitination, known for its role in DNA repair and involvement in early events associated with metastatic progression of breast <e2>cancer</e2> cells, were associated with signal transduction-amplified breast cancer.
1	In addition, we found using Bayesian network-based machine learning that 30 transcription by RNA polymerase II motif-enriched genes including growth factor receptors-positive regulation of cell proliferation, negative regulation of apoptotic process; E2Fs transcription factor family-regulation of transcription, DNA-templated, E2F3; MAPK pathway-SHC2, insulin receptor signaling pathway, <e1>protein phosphorylation</e1>; phosphorylation-AKT-mTOR signaling pathway-phosphorylation, phosphatidylinositol 3-kinase signaling, positive regulation of protein phosphorylation, TOR signaling; WNT signaling pathway-WNT7B, DLV1, DLV2, GSK3B, NRF1, and protein polyubiquitination, known for its role in DNA repair and involvement in early events associated with metastatic progression of breast <e2>cancer</e2> cells, were associated with signal transduction-amplified breast cancer.
1	In addition, we found using Bayesian network-based machine learning that 30 transcription by RNA polymerase II motif-enriched genes including growth factor receptors-positive regulation of cell proliferation, negative regulation of apoptotic process; E2Fs transcription factor family-regulation of transcription, DNA-templated, E2F3; MAPK pathway-SHC2, insulin receptor signaling pathway, protein phosphorylation; <e1>phosphorylation</e1>-AKT-mTOR signaling pathway-phosphorylation, phosphatidylinositol 3-kinase signaling, positive regulation of protein phosphorylation, TOR signaling; WNT signaling pathway-WNT7B, DLV1, DLV2, GSK3B, NRF1, and protein polyubiquitination, known for its role in DNA repair and involvement in early events associated with metastatic progression of breast <e2>cancer</e2> cells, were associated with signal transduction-amplified breast cancer.
